"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Dang ky user moi A","POST","","/api/auth/register","","","{""email"":""uc1_a_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""UC1 A {{run_id}}""}","","200","","","","","registered successfully","","","","",""
"TC02 Dang ky trung user A","POST","","/api/auth/register","","","{""email"":""uc1_a_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""UC1 A {{run_id}}""}","","400","","","","","already in use","","","","",""
"TC03 Dang ky user moi B","POST","","/api/auth/register","","","{""email"":""uc1_b_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""UC1 B {{run_id}}""}","","200","","","","","registered successfully","","","","",""
"TC04 Dang ky trung user B","POST","","/api/auth/register","","","{""email"":""uc1_b_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""UC1 B {{run_id}}""}","","400","","","","","already in use","","","","",""
"TC05 Dang ky user moi C","POST","","/api/auth/register","","","{""email"":""uc1_c_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""UC1 C {{run_id}}""}","","200","","","","","registered successfully","","","","",""
"TC06 Dang ky trung email test@example.com","POST","","/api/auth/register","","","{""email"":""test@example.com"",""password"":""password123"",""fullName"":""Duplicate Test""}","","400","","","","","already in use","","","","",""
"TC07 Dang ky trung email admin@example.com","POST","","/api/auth/register","","","{""email"":""admin@example.com"",""password"":""password123"",""fullName"":""Duplicate Admin""}","","400","","","","","already in use","","","","",""
"TC08 Dang ky trung email student@example.com","POST","","/api/auth/register","","","{""email"":""student@example.com"",""password"":""password123"",""fullName"":""Duplicate Student""}","","400","","","","","already in use","","","","",""
"TC09 Dang ky user moi D","POST","","/api/auth/register","","","{""email"":""uc1_d_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""UC1 D {{run_id}}""}","","200","","","","","registered successfully","","","","",""
"TC10 Dang ky trung user D","POST","","/api/auth/register","","","{""email"":""uc1_d_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""UC1 D {{run_id}}""}","","400","","","","","already in use","","","","",""
