"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Pass dang ky user moi A","POST","","/api/auth/register","","","{""email"":""pf_uc1_a_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""PF UC1 A {{run_id}}""}","","200","","","","","registered successfully","","","","",""
"TC02 Fail dang ky trung user A","POST","","/api/auth/register","","","{""email"":""pf_uc1_a_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""PF UC1 A {{run_id}}""}","","400","","","","","already in use","","","","",""
"TC03 Pass dang ky user moi B","POST","","/api/auth/register","","","{""email"":""pf_uc1_b_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""PF UC1 B {{run_id}}""}","","200","","","","","registered successfully","","","","",""
"TC04 Fail dang ky trung test@example.com","POST","","/api/auth/register","","","{""email"":""test@example.com"",""password"":""password123"",""fullName"":""Duplicate Test""}","","400","","","","","already in use","","","","",""
"TC05 Pass dang ky user moi C","POST","","/api/auth/register","","","{""email"":""pf_uc1_c_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""PF UC1 C {{run_id}}""}","","200","","","","","registered successfully","","","","",""
"TC06 Fail dang ky trung admin@example.com","POST","","/api/auth/register","","","{""email"":""admin@example.com"",""password"":""password123"",""fullName"":""Duplicate Admin""}","","400","","","","","already in use","","","","",""
"TC07 Pass dang ky user moi D","POST","","/api/auth/register","","","{""email"":""pf_uc1_d_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""PF UC1 D {{run_id}}""}","","200","","","","","registered successfully","","","","",""
"TC08 Fail dang ky trung student@example.com","POST","","/api/auth/register","","","{""email"":""student@example.com"",""password"":""password123"",""fullName"":""Duplicate Student""}","","400","","","","","already in use","","","","",""
"TC09 Pass dang ky user moi E","POST","","/api/auth/register","","","{""email"":""pf_uc1_e_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""PF UC1 E {{run_id}}""}","","200","","","","","registered successfully","","","","",""
"TC10 Fail dang ky trung user E","POST","","/api/auth/register","","","{""email"":""pf_uc1_e_{{run_id}}@example.com"",""password"":""password123"",""fullName"":""PF UC1 E {{run_id}}""}","","400","","","","","already in use","","","","",""
