"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Pass dang ky user moi A","POST","","/api/auth/register","","","{""email"":""pf_uc1_a_{{run_id}}@example.com"",""password"":""Pass@123"",""fullName"":""PF UC1 A {{run_id}}""}","","200","","","","","registered successfully","","","","",""
"TC02 Fail dang ky trung user A","POST","","/api/auth/register","","","{""email"":""pf_uc1_a_{{run_id}}@example.com"",""password"":""Pass@123"",""fullName"":""PF UC1 A {{run_id}}""}","","400","","","","","email da duoc su dung","","","","",""
"TC03 Fail email sai dinh dang","POST","","/api/auth/register","","","{""email"":""pf_uc1_invalid_format"",""password"":""Pass@123"",""fullName"":""Invalid Format""}","","400","","","","","email sai dinh dang","","","","",""
"TC04 Fail email rong","POST","","/api/auth/register","","","{""email"":"""",""password"":""Pass@123"",""fullName"":""Missing Email""}","","400","","","","","email khong duoc de trong","","","","",""
"TC05 Fail mat khau rong","POST","","/api/auth/register","","","{""email"":""pf_uc1_empty_password_{{run_id}}@example.com"",""password"":"""",""fullName"":""Missing Password""}","","400","","","","","mat khau khong duoc de trong","","","","",""
"TC06 Fail ca email va mat khau rong","POST","","/api/auth/register","","","{""email"":"""",""password"":"""",""fullName"":""Missing Both""}","","400","","","","","ca email va mat khau khong duoc de trong","","","","",""
"TC07 Fail mat khau qua ngan","POST","","/api/auth/register","","","{""email"":""pf_uc1_short_{{run_id}}@example.com"",""password"":""P@1a"",""fullName"":""Short Password""}","","400","","","","","mat khau phai co it nhat 6 ky tu va chua ky tu dac biet","","","","",""
"TC08 Fail mat khau khong co ky tu dac biet","POST","","/api/auth/register","","","{""email"":""pf_uc1_no_special_{{run_id}}@example.com"",""password"":""Pass1234"",""fullName"":""No Special Char""}","","400","","","","","mat khau phai co it nhat 6 ky tu va chua ky tu dac biet","","","","",""
"TC09 Fail email co khoang trang dau cuoi","POST","","/api/auth/register","","","{""email"":"" pf_uc1_space_{{run_id}}@example.com "",""password"":""Pass@123"",""fullName"":""Space Email""}","","400","","","","","email khong duoc co khoang trang o dau hoac cuoi","","","","",""
"TC10 Fail trung email khong phan biet hoa thuong","POST","","/api/auth/register","","","{""email"":""Test@Example.com"",""password"":""Pass@123"",""fullName"":""Duplicate Test Case""}","","400","","","","","email da duoc su dung","","","","",""
"TC11 Fail ho ten rong","POST","","/api/auth/register","","","{""email"":""pf_uc1_blank_name_{{run_id}}@example.com"",""password"":""Pass@123"",""fullName"":""""}","","400","","","","","ho ten khong duoc de trong","","","","",""
"TC12 Pass dang ky user moi B","POST","","/api/auth/register","","","{""email"":""pf_uc1_b_{{run_id}}@example.com"",""password"":""Strong#456"",""fullName"":""PF UC1 B {{run_id}}""}","","200","","","","","registered successfully","","","","",""
